,Roll,Pitch,Heading,Pressure(Pha),Temperature,WindSpeed,Date,Time,latitude,longitude,Altitude
108,-3.80,-5.36,293.15,1000.11,23.60,0,22/11/2020,18:43:55.,6228.3471N,614.0649E,
109,-4.44,-5.78,293.33,1000.12,23.70,0,,,,,
110,-4.21,-5.54,292.88,1000.16,23.60,0,,,,,
111,-3.75,-5.52,293.86,1000.16,23.60,0,,,,,
112,-4.22,-6.22,293.23,1000.12,23.60,0,22/11/2020,18:43:57.,6228.3476N,614.0655E,
113,-4.43,-5.54,293.12,1000.12,23.60,0,,,,,
114,-4.02,-5.81,293.36,1000.17,23.60,0,,,,,
115,-3.80,-5.59,292.99,1000.09,23.60,0,,,,,
116,-4.22,-5.78,293.33,1000.18,23.60,0,,,,,
117,-4.00,-5.79,292.93,1000.16,23.60,0,22/11/2020,18:44:00.,6228.3486N,614.0670E,
118,-4.44,-6.00,293.07,1000.13,23.60,0,,,,,
119,-3.97,-5.96,292.70,1000.16,23.60,0,,,,,
120,-4.42,-6.20,293.12,1000.15,23.60,0,,,,,
121,-4.46,-5.58,293.17,1000.21,23.70,0,22/11/2020,18:44:02.,6228.3496N,614.0671E,
122,-4.22,-6.00,293.59,1000.14,23.60,0,,,,,
123,-4.18,-5.50,293.07,1000.18,23.60,0,,,,,
124,-4.21,-5.54,293.07,1000.16,23.70,0,,,,,
125,-4.02,-5.59,293.33,1000.10,23.60,0,22/11/2020,18:44:04.,6228.3515N,614.0667E,
126,-4.24,-5.58,292.77,1000.17,23.60,0,,,,,
127,-3.96,-5.28,292.51,1000.18,23.60,0,,,,,
128,-3.78,-5.34,293.43,1000.11,23.60,0,,,,,
129,-4.05,-5.85,293.59,1000.18,23.60,0,22/11/2020,18:44:06.,6228.3525N,614.0673E,
130,-3.98,-5.98,293.30,1000.21,23.60,0,22/11/2020,18:44:08.,6228.3535N,614.0685E,
131,-3.98,-5.98,293.30,1000.21,23.60,0,,,,,
132,-4.46,-6.03,293.49,1000.15,23.60,0,,,,,
133,-4.24,-5.36,292.62,1000.16,23.60,0,,,,,
134,-4.03,-5.83,293.33,1000.20,23.60,0,,,,,
135,-4.44,-6.00,293.04,1000.16,23.60,0,22/11/2020,18:44:10.,6228.3540N,614.0682E,
136,-4.21,-5.98,293.25,1000.23,23.60,0,,,,,
137,-4.21,-5.54,292.85,1000.16,23.60,0,,,,,
138,-4.65,-5.54,293.23,1000.21,23.60,0,,,,,
139,-3.53,-5.96,293.12,1000.18,23.60,0,22/11/2020,18:44:12.,6228.3544N,614.0688E,
140,-4.45,-5.34,293.15,1000.21,23.60,0,,,,,
141,-4.44,-6.00,293.23,1000.29,23.60,0,,,,,
142,-4.16,-5.96,293.04,1000.18,23.60,0,,,,,
143,-4.16,-5.26,292.93,1000.16,23.60,0,22/11/2020,18:44:14.,6228.3554N,614.0693E,
144,-4.21,-5.10,293.41,1000.20,23.60,0,,,,,
145,-4.46,-5.36,293.12,1000.11,23.60,0,,,,,
146,-4.45,-4.90,292.85,1000.18,23.60,0,,,,,
147,-4.19,-5.74,292.85,1000.17,23.60,0,22/11/2020,18:44:16.,6228.3559N,614.0688E,
148,-4.67,-5.78,293.41,1000.09,23.60,0,,,,,
149,-4.43,-5.76,293.04,1000.05,23.60,0,,,,,
150,-3.78,-5.57,293.23,1000.12,23.60,0,,,,,
151,-4.45,-5.56,292.85,1000.10,23.60,0,22/11/2020,18:44:17.,6228.3559N,614.0683E,
152,-4.02,-6.03,293.41,1000.13,23.60,0,,,,,
153,-4.22,-5.56,293.68,1000.09,23.60,0,,,,,
154,-4.21,-5.76,292.59,1000.15,23.70,0,,,,,
155,-4.21,-5.54,293.55,1000.09,23.60,0,22/11/2020,18:44:20.,6228.3554N,614.0661E,
156,-4.19,-5.74,293.12,1000.11,23.60,0,,,,,
157,-4.21,-5.76,292.40,1000.09,23.60,0,,,,,
158,-4.19,-5.74,293.07,1000.12,23.60,0,,,,,
159,-4.43,-5.32,292.93,1000.10,23.70,0,22/11/2020,18:44:21.,6228.3554N,614.0655E,
160,-4.19,-5.54,293.23,1000.07,23.60,0,,,,,
161,-4.19,-5.52,293.07,1000.11,23.60,0,,,,,
162,-3.99,-5.54,292.59,1000.09,23.60,0,,,,,
163,-4.44,-6.00,292.93,1000.11,23.60,0,22/11/2020,18:44:23.,6228.3554N,614.0654E,
164,-4.44,-5.78,293.41,1000.09,23.60,0,,,,,
165,-4.63,-5.78,293.41,1000.09,23.60,0,,,,,
166,-4.63,-5.74,293.12,1000.05,23.60,0,,,,,
167,-4.19,-5.52,293.04,1000.05,23.60,0,22/11/2020,18:44:23.,6228.3554N,614.0654E,
168,-4.67,-5.56,293.57,1000.07,23.60,0,,,,,
169,-4.87,-5.54,293.41,1000.05,23.60,0,,,,,
170,-3.81,-5.39,293.41,1000.07,23.60,0,,,,,
171,-4.14,-5.46,293.23,1000.10,23.60,0,22/11/2020,18:44:23.,6228.3554N,614.0654E,
172,-3.56,-5.57,292.93,1000.12,23.60,2,,,,,
173,-4.02,-5.81,293.01,1000.08,23.60,2,,,,,
174,-4.41,-5.52,293.20,1000.07,23.60,2,,,,,
175,-4.21,-5.98,293.33,1000.06,23.60,2,22/11/2020,18:44:23.,6228.3554N,614.0654E,
176,-3.74,-5.50,293.07,1000.06,23.60,2,,,,,
177,-4.21,-5.98,293.04,1000.05,23.60,2,,,,,
178,-4.21,-5.32,292.96,1000.05,23.60,2,,,,,
179,-4.65,-5.98,293.49,1000.08,23.60,2,22/11/2020,18:44:23.,6228.3554N,614.0654E,
180,-3.99,-5.54,293.15,1000.10,23.60,1,,,,,
181,-4.00,-5.79,293.20,1000.07,23.60,1,,,,,
182,-4.19,-5.74,292.77,1000.03,23.60,1,,,,,
183,-4.22,-6.00,293.76,1000.08,23.60,1,22/11/2020,18:44:33.,6228.3549N,614.0682E,
184,-4.43,-5.54,292.93,1000.03,23.60,1,,,,,
185,-3.98,-5.98,293.12,1000.13,23.60,1,,,,,
186,-4.22,-5.78,292.77,1000.04,23.60,1,,,,,
187,-3.77,-5.32,293.30,1000.06,23.60,1,22/11/2020,18:44:36.,6228.3549N,614.0685E,
188,-4.65,-5.98,292.96,1000.03,23.60,1,,,,,
189,-4.22,-6.00,292.77,1000.04,23.60,1,,,,,
190,-4.00,-5.79,293.12,1000.02,23.60,1,,,,,
191,-4.62,-6.39,293.12,1000.07,23.60,1,22/11/2020,18:44:38.,6228.3554N,614.0687E,
192,-4.48,-5.60,293.01,1000.05,23.60,1,,,,,
193,-4.00,-6.23,292.67,999.99,23.60,1,,,,,
194,-4.43,-5.54,293.28,1000.05,23.60,1,,,,,
195,-3.78,-5.57,293.23,1000.05,23.60,0,22/11/2020,18:44:40.,6228.3554N,614.0689E,
196,-3.56,-5.57,293.15,1000.03,23.60,0,,,,,
197,-4.21,-5.76,292.59,999.99,23.60,0,,,,,
198,-4.21,-5.76,291.84,1000.04,23.60,0,,,,,
199,-4.39,-5.72,293.28,1000.03,23.60,0,22/11/2020,18:44:42.,6228.3559N,614.0692E,
200,-4.26,-5.83,292.82,1000.03,23.60,0,,,,,
201,-4.22,-5.56,293.23,1000.05,23.60,0,,,,,
202,-3.98,-5.98,293.01,1000.03,23.60,0,,,,,
203,-3.99,-5.54,293.33,1000.08,23.60,0,22/11/2020,18:44:43.,6228.3559N,614.0693E,
204,-4.67,-5.78,293.12,1000.10,23.60,0,,,,,
205,-4.24,-5.81,292.56,1000.05,23.60,0,,,,,
206,-4.22,-5.78,292.29,1000.09,23.60,0,,,,,
207,-3.99,-5.54,293.30,1000.06,23.60,0,22/11/2020,18:44:45.,6228.3559N,614.0695E,
208,-3.74,-5.72,292.85,1000.08,23.60,0,,,,,
209,-3.74,-5.50,293.41,1000.03,23.60,0,,,,,
210,-3.99,-5.54,293.47,1000.10,23.60,0,,,,,
211,-4.24,-5.36,293.04,1000.04,23.60,0,22/11/2020,18:44:48.,6228.3559N,614.0697E,
212,-3.98,-6.20,293.30,1000.12,23.60,0,,,,,
213,-4.22,-5.78,292.73,1000.10,23.60,0,,,,,
214,-4.22,-5.56,293.30,1000.06,23.60,0,,,,,
215,-4.65,-5.54,293.20,1000.08,23.60,0,22/11/2020,18:44:50.,6228.3559N,614.0695E,
216,-3.77,-5.32,292.91,1000.04,23.60,0,,,,,
217,-4.19,-5.52,293.04,1000.02,23.60,0,,,,,
218,-4.21,-4.66,292.67,1000.08,23.60,0,,,,,
219,-4.21,-5.32,292.51,1000.05,23.60,0,22/11/2020,18:44:52.,6228.3554N,614.0692E,
220,-4.29,-5.87,293.36,1000.04,23.60,0,,,,,
221,-4.65,-5.76,292.85,1000.08,23.60,0,,,,,
222,-4.21,-4.88,292.64,999.98,23.60,0,,,,,
223,-4.21,-5.32,293.30,1000.01,23.60,0,22/11/2020,18:44:53.,6228.3544N,614.0673E,
224,-4.39,-6.15,292.90,1000.10,23.60,0,,,,,
225,-4.43,-5.76,293.47,1000.06,23.60,0,,,,,
226,-4.01,-4.90,292.85,1000.03,23.60,0,,,,,
227,-4.21,-5.98,293.59,1000.09,23.60,0,22/11/2020,18:44:56.,6228.3515N,614.0631E,
228,-4.69,-5.36,292.90,1000.06,23.60,0,,,,,
229,-4.48,-5.83,293.04,1000.07,23.60,0,,,,,
230,-3.60,-5.32,0.00,1000.04,23.60,0,,,,,
231,-3.60,-5.86,292.74,1000.03,23.60,0,22/11/2020,18:44:58.,6228.3500N,614.0611E,
232,-3.99,-5.54,293.49,1000.08,23.60,0,,,,,
233,-4.41,-5.52,293.12,1000.08,23.60,0,,,,,
234,-4.16,-5.48,293.15,1000.03,23.60,0,,,,,
235,-4.24,-5.36,292.96,1000.09,23.60,0,22/11/2020,18:45:00.,6228.3491N,614.0622E,
236,-4.00,-6.01,293.39,1000.09,23.60,0,,,,,
237,-4.44,-5.78,293.15,1000.13,23.60,0,,,,,
238,-3.98,-5.08,292.59,1000.11,23.60,0,,,,,
239,-4.23,-5.34,293.04,1000.16,23.60,0,22/11/2020,18:45:02.,6228.3500N,614.0572E,
240,-4.24,-5.36,293.33,1000.12,23.60,0,,,,,
241,-4.41,-5.74,293.65,1000.10,23.60,0,,,,,
242,-4.21,-5.54,293.30,1000.10,23.60,0,,,,,
243,-4.23,-5.34,293.47,1000.15,23.60,0,22/11/2020,18:45:04.,6228.3491N,614.0530E,
244,-4.40,-5.50,292.85,1000.13,23.60,0,,,,,
245,-4.41,-5.30,293.28,1000.09,23.60,0,,,,,
246,-4.40,-5.06,293.39,1000.05,23.60,0,,,,,
247,-3.31,-5.96,292.40,1000.12,23.60,0,22/11/2020,18:45:06.,6228.3471N,614.0494E,
248,-4.25,-5.59,293.04,1000.12,23.60,0,,,,,
249,-4.25,-4.92,293.30,1000.08,23.60,0,,,,,
250,-3.96,-5.50,293.78,1000.21,23.60,0,,,,,
251,-4.22,-5.56,293.04,1000.13,23.60,0,22/11/2020,18:45:08.,6228.3452N,614.0459E,
252,-4.42,-6.20,293.28,1000.13,23.60,0,,,,,
253,-4.41,-5.52,293.15,1000.16,23.60,0,,,,,
254,-4.22,-5.56,293.49,1000.09,23.60,0,22/11/2020,18:45:10.,6228.3442N,614.0437E,
255,-4.04,-5.38,293.47,1000.07,23.60,0,,,,,
256,-3.74,-5.72,0.00,1000.15,23.60,0,,,,,
257,-4.21,-4.66,294.56,1000.17,23.60,0,,,,,
258,-4.00,-6.01,294.84,1000.13,23.60,0,22/11/2020,18:45:12.,6228.3447N,614.0411E,
259,-3.96,-5.28,294.14,1000.15,23.60,0,,,,,
260,-4.28,-5.35,293.77,1000.18,23.60,0,,,,,
261,-3.81,-5.61,294.25,1000.15,23.60,0,,,,,
262,-3.98,-5.98,293.90,1000.14,23.60,0,22/11/2020,18:45:14.,6228.3442N,614.0411E,
263,-4.22,-5.56,294.33,1000.16,23.60,0,,,,,
264,-3.99,-5.32,294.08,1000.13,23.60,0,,,,,
265,-4.19,-5.52,294.33,1000.14,23.60,0,,,,,
266,-4.25,-6.05,294.35,1000.21,23.60,0,22/11/2020,18:45:16.,6228.3447N,614.0425E,
267,-4.24,-5.30,294.16,1000.14,23.60,0,,,,,
268,-4.24,-5.58,294.24,1000.18,23.60,0,,,,,
269,-3.99,-6.03,294.08,1000.15,23.60,0,,,,,
270,-3.99,-5.32,294.02,1000.16,23.60,0,22/11/2020,18:45:18.,6228.3461N,614.0444E,
271,-4.58,-5.45,294.18,1000.10,23.60,0,,,,,
272,-3.97,-5.52,294.00,1000.11,23.60,0,,,,,
273,-4.65,-5.54,294.00,1000.10,23.60,0,,,,,
274,-4.45,-5.12,294.43,1000.10,23.60,0,22/11/2020,18:45:20.,6228.3471N,614.0447E,
275,-3.97,-5.78,294.68,1000.15,23.60,0,,,,,
276,-3.97,-5.74,293.83,1000.12,23.60,0,,,,,
277,-4.00,-5.56,294.00,1000.11,23.60,0,,,,,
278,-4.19,-5.52,293.75,1000.16,23.60,0,22/11/2020,18:45:22.,6228.3481N,614.0450E,
279,-4.20,-5.08,293.90,1000.15,23.60,0,,,,,
280,-4.17,-5.94,293.92,1000.18,23.60,0,,,,,
281,-4.23,-5.34,294.18,1000.15,23.60,0,,,,,
282,-4.00,-5.79,294.41,1000.14,23.60,0,22/11/2020,18:45:24.,6228.3491N,614.0453E,
283,-4.21,-5.54,293.92,1000.22,23.60,0,,,,,
284,-4.24,-5.81,294.10,1000.19,23.60,0,,,,,
285,-4.21,-5.76,293.65,1000.11,23.60,0,,,,,
286,-4.19,-5.30,293.73,1000.15,23.60,0,22/11/2020,18:45:26.,6228.3496N,614.0469E,
287,-4.23,-5.34,293.63,1000.18,23.60,0,,,,,
288,-4.01,-5.12,294.18,1000.16,23.60,0,,,,,
289,-4.21,-5.54,294.18,1000.13,23.60,0,,,,,
290,-4.22,-5.78,293.85,1000.14,23.60,0,22/11/2020,18:45:28.,6228.3486N,614.0469E,
291,-4.43,-5.98,293.85,1000.10,23.60,0,,,,,
292,-4.19,-5.96,293.90,1000.13,23.60,0,,,,,
293,-4.00,-5.79,293.73,1000.19,23.60,0,,,,,
294,-3.98,-5.98,294.27,1000.16,23.60,0,22/11/2020,18:45:30.,6228.3481N,614.0472E,
295,-3.81,-5.83,294.10,1000.14,23.60,0,,,,,
296,-3.81,-5.83,294.10,1000.14,23.60,0,,,,,
297,-4.21,-5.98,294.06,1000.17,23.60,0,22/11/2020,18:45:32.,6228.3481N,614.0480E,
298,-3.94,-5.48,294.67,1000.17,23.60,0,,,,,
299,-4.02,-5.81,293.83,1000.16,23.60,0,,,,,
300,-3.76,-5.98,294.43,1000.14,23.60,0,,,,,
301,-3.98,-5.98,293.81,1000.16,23.60,0,22/11/2020,18:45:34.,6228.3486N,614.0491E,
302,-4.18,-5.50,293.92,1000.21,23.60,0,,,,,
303,-4.43,-5.54,294.18,1000.15,23.60,0,,,,,
304,-3.99,-5.54,294.04,1000.17,23.60,0,,,,,
305,-4.22,-5.78,293.55,1000.19,23.60,0,22/11/2020,18:45:36.,6228.3486N,614.0494E,
306,-3.80,-5.59,294.94,1000.21,23.60,0,,,,,
307,-3.97,-6.20,293.92,1000.15,23.60,0,,,,,
308,-3.97,-5.30,293.81,1000.22,23.60,0,,,,,
309,-4.25,-4.92,293.73,1000.16,23.60,0,22/11/2020,18:45:38.,6228.3500N,614.0516E,
310,-4.21,-5.54,294.25,1000.19,23.60,0,,,,,
311,-4.46,-5.58,293.98,1000.17,23.60,0,,,,,
312,-3.97,-5.74,294.51,1000.20,23.60,0,,,,,
313,-3.75,-5.74,293.90,1000.22,23.60,0,22/11/2020,18:45:40.,6228.3515N,614.0550E,
314,-3.97,-5.52,294.16,1000.20,23.60,0,,,,,
315,-4.02,-6.03,293.90,1000.19,23.60,0,,,,,
316,-4.20,-6.20,293.75,1000.23,23.60,0,,,,,
317,-4.00,-5.56,293.98,1000.26,23.60,0,22/11/2020,18:45:42.,6228.3540N,614.0591E,
318,-4.00,-6.23,294.18,1000.22,23.60,0,,,,,
319,-3.99,-5.32,294.25,1000.22,23.60,0,,,,,
320,-4.02,-6.03,293.65,1000.27,23.60,0,,,,,
321,-3.95,-5.94,294.18,1000.19,23.60,0,22/11/2020,18:45:44.,6228.3554N,614.0620E,
322,-4.43,-5.54,293.98,1000.28,23.60,0,,,,,
323,-4.03,-5.83,294.25,1000.25,23.60,0,,,,,
324,-4.00,-6.01,294.67,1000.26,23.60,0,,,,,
325,-4.24,-5.58,293.83,1000.27,23.60,0,22/11/2020,18:45:46.,6228.3569N,614.0625E,
326,-3.97,-5.74,294.18,1000.30,23.60,0,,,,,
327,-4.23,-5.34,294.32,1000.31,23.60,0,,,,,
328,-4.02,-5.81,293.98,1000.27,23.60,0,,,,,
329,-4.17,-5.72,294.43,1000.34,23.60,0,22/11/2020,18:45:48.,6228.3574N,614.0614E,
330,-3.99,-5.76,293.92,1000.28,23.60,0,,,,,
331,-3.56,-5.35,294.10,1000.24,23.60,0,,,,,
332,-4.22,-5.78,293.63,1000.32,23.60,0,,,,,
333,-4.24,-5.58,294.08,1000.34,23.60,0,22/11/2020,18:45:50.,6228.3564N,614.0606E,
334,-4.01,-4.90,294.44,1000.31,23.60,0,,,,,
335,-3.74,-5.72,294.35,1000.31,23.60,0,,,,,
336,-4.02,-6.03,294.87,1000.29,23.60,0,,,,,
337,-4.43,-5.32,295.36,1000.35,23.60,0,22/11/2020,18:45:52.,6228.3554N,614.0609E,
338,-4.17,-5.72,295.52,1000.29,23.60,0,,,,,
339,-4.06,-6.21,294.99,1000.33,23.60,0,,,,,
340,-1.50,-4.28,318.85,1000.29,23.60,0,,,,,
341,-9.43,-0.45,322.19,1000.28,23.60,0,22/11/2020,18:45:54.,6228.3554N,614.0623E,
342,-14.07,2.88,334.01,1000.28,23.60,0,,,,,
343,-17.08,1.35,347.54,1000.26,23.60,0,,,,,
344,-17.51,-0.39,2.77,1000.20,23.60,0,,,,,
345,-8.66,-6.24,302.01,1000.18,23.60,0,22/11/2020,18:45:56.,6228.3549N,614.0642E,
346,-10.97,-3.08,268.94,1000.13,23.60,0,,,,,
347,1.89,-4.98,249.50,1000.19,23.60,0,,,,,
348,-0.87,-12.03,290.63,1000.13,23.60,0,,,,,
349,0.87,-6.77,319.40,1000.11,23.60,0,22/11/2020,18:45:58.,6228.3554N,614.0645E,
350,16.22,-12.16,305.58,1000.11,23.60,0,,,,,
351,3.89,-15.01,284.80,1000.10,23.60,0,,,,,
352,3.14,-18.94,232.78,1000.18,23.60,0,,,,,
353,0.41,-2.90,191.95,1000.14,23.60,0,22/11/2020,18:46:00.,6228.3540N,614.0647E,
354,2.12,-12.81,187.94,1000.15,23.60,0,,,,,
355,2.15,-14.81,196.52,1000.09,23.60,0,,,,,
356,-1.39,-6.52,199.20,1000.12,23.60,0,,,,,
357,7.26,-2.67,223.61,1000.12,23.60,0,22/11/2020,18:46:02.,6228.3535N,614.0643E,
358,7.26,-5.21,222.89,1000.13,23.60,0,,,,,
359,1.89,-7.59,236.31,1000.13,23.60,0,,,,,
360,1.11,-14.41,254.55,1000.16,23.60,0,,,,,
361,4.91,-8.20,256.56,1000.09,23.60,0,22/11/2020,18:46:04.,6228.3530N,614.0623E,
362,-1.51,-7.15,233.28,1000.08,23.60,0,,,,,
363,2.13,-5.96,209.31,1000.13,23.60,0,,,,,
364,-3.02,-5.59,189.98,1000.09,23.60,0,,,,,
